序1 :A03583:藉:借:藉:一簡對多
序317 :A03464:荒:荒:佔格:一簡對一:G1-01412:無繁體:荒:無異體
序319 :A03465:荔:荔:佔格:一簡對一:G1-01421:無繁體:荔:茘
序321 :B03839:荖:荖:無相關對應:一對未知:G3-06783:無繁體:荖:無異體
序323 ::::::G3-06785:薘:荙:無異體
序324 :A03483:莢:荚:莢:一簡對一:G2-04109:莢:荚:無異體
序326 :B04064:蕘:荛:蕘:一對未知:G3-06786:蕘:荛:無異體
序328 :B04045:蓽:荜:蓽:一對未知:G2-04112:蓽:荜:無異體
序330 :B04078:蕎:荞:蕎:一對未知:G2-04118:蕎:荞:荍
序332 :B04117:薈:荟:薈:一對未知:G2-04123:薈:荟:無異體
序334 :B04122:薺:荠:薺:一對未知:G2-04126:薺:荠:無異體
序336 :A03565:蕩:荡:蕩:一簡對多:G1-01414:蕩:荡:盪
序337 :A02755:盪:荡:佔格:一簡對多:G1-01414:蕩:荡:盪
序338 :A03565:蕩:荡:蕩:一簡對多:G1-01414:蕩:荡:盪
序340 :A01993:榮:荣:榮:一簡對一:G1-01415:榮:荣:無異體
序342 :A03519:葷:荤:葷:一簡對一:G1-01416:葷:荤:無異體
序344 :B02226:滎:荥:滎:一對未知:G2-04130:滎:荥:無異體
序346 :A02503:犖:荦:犖:一簡對一:G2-04131:犖:荦:無異體
序348 :B02422:熒:荧:熒:一對未知:G1-01417:熒:荧:無異體
序350 :B04068:蕁:荨:蕁:一對未知:G2-04132:蕁:荨:無異體
序352 :B04133:藎:荩:藎:一對未知:G2-04133:藎:荩:無異體
序354 :A03543:蓀:荪:蓀:一簡對一:G2-04135:蓀:荪:無異體
序356 :A03552:蔭:荫:蔭:一簡對一:G1-01420:蔭:荫:廕
序358 :B04147:藚:荬:藚:一對未知:G2-04137:蕒:荬:無異體
序360 :B03972:葒:荭:葒:一對未知:G3-06796:葒:荭:無異體
序362 ::::::G2-04138:葤:荮:無異體
序363 :B03973:葯:药:葯:一對未知:G1-01423:藥:药:無異體
序364 :A03590:藥:药:藥:一簡對一:G1-01423:藥:药:無異體
序365 :B03973:葯:药:葯:一對未知:G1-01423:藥:药:無異體
序366 :A03590:藥:药:藥:一簡對一:G1-01423:藥:药:無異體
序368 ::::::G3-06791:蔄:𬜬:無異體
序369 ::::::G3-06950:無繁體:茝:無異體
序370 :B03870:荴:荴:無相關對應:一對未知
序371 :B03875:荵:荵:無相關對應:一對未知
序372 :A03492:荷:荷:佔格:一簡對一:G1-01826:無繁體:荷:無異體
序374 :A03482:荸:荸:佔格:一簡對一:G2-04427:無繁體:荸:無異體
序376 :B03866:荺:荺:無相關對應:一對未知
序377 :A03493:荻:荻:佔格:一簡對一:G2-04440:無繁體:荻:無異體
序379 :A03494:荼:荼:佔格:一簡對一:G2-04436:無繁體:荼:無異體
序381 :B03879:荽:荽:無相關對應:一對未知:G2-04438:無繁體:荽:無異體
序383 :B03886:荾:荾:無相關對應:一對未知
序384 :B03872:莁:莁:無相關對應:一對未知
序385 :B03880:莃:莃:無相關對應:一對未知
序386 :A03538:蒞:莅:佔格:一簡對一:G2-04435:無繁體:莅:涖蒞
序388 :B03868:莆:莆:無相關對應:一對未知:G2-04428:無繁體:莆:無異體
序390 :A03490:莉:莉:佔格:一簡對一:G1-01825:無繁體:莉:無異體
序392 :B03885:莋:莋:無相關對應:一對未知
序393 :B03881:莌:莌:無相關對應:一對未知
序394 :B03865:莍:莍:無相關對應:一對未知
序395 :A03479:莎:莎:佔格:一簡對一:G2-04442:無繁體:莎:無異體
序397 :B03871:莏:莏:無相關對應:一對未知
序398 :B03862:莐:莐:無相關對應:一對未知
序399 :A03487:莒:莒:佔格:一簡對一:G2-04113:無繁體:莒:無異體
序401 :A03489:莓:莓:佔格:一簡對一:G2-04433:無繁體:莓:無異體
序403 :B03877:莔:莔:無相關對應:一對未知
序404 :B03873:莕:莕:無相關對應:一對未知
序405 :A03481:莘:莘:佔格:一簡對一:G2-04441:無繁體:莘:無異體
序407 :B03874:莙:莙:無相關對應:一對未知:G3-06956:無繁體:莙:無異體
序409 :B03883:莛:莛:無相關對應:一對未知:G2-04117:無繁體:莛:無異體
序411 ::::::G2-04434:無繁體:莜:無異體
序412 :B03882:莝:莝:無相關對應:一對未知:G3-06954:無繁體:莝:無異體
序414 :A03480:莞:莞:佔格:一簡對一:G2-04443:無繁體:莞:無異體
序416 :A03491:莠:莠:佔格:一簡對一:G2-04432:無繁體:莠:無異體
序418 :B03863:莣:莣:無相關對應:一對未知
序419 :B03869:莤:莤:無相關對應:一對未知
序420 :B03887:莥:莥:無相關對應:一對未知
序421 :B03864:莨:莨:無相關對應:一對未知:G2-04444:無繁體:莨:無異體
序423 :B03878:莩:莩:無相關對應:一對未知:G2-04437:無繁體:莩:無異體
序425 :B03884:莪:莪:無相關對應:一對未知:G2-04431:無繁體:莪:無異體
序427 :A03486:莫:莫:佔格:一簡對一:G1-01824:無繁體:莫:無異體
序429 ::::::G3-06949:無繁體:莰:無異體
序430 :A03507:萊:莱:萊:一簡對一:G1-01822:萊:莱:無異體
序432 :A03550:蓮:莲:蓮:一簡對一:G1-01823:蓮:莲:無異體
