序1 :B03223:箇:个:箇:一對未知
序312 :B03285:籈:籈:無相關對應:一對未知
序313 :B03284:籉:籉:無相關對應:一對未知
序314 :B03286:籊:籊:無相關對應:一對未知
序315 :A03048:籍:籍:佔格:一簡對一:G1-03482:無繁體:籍:無異體
序317 :B03287:籔:籔:無相關對應:一對未知
序318 :B03288:籗:籗:無相關對應:一對未知
序319 :B03290:籙:籙:無相關對應:一對未知
序320 :B03291:籛:籛:無相關對應:一對未知
序321 :B03293:籣:籣:無相關對應:一對未知
序322 ::::::G3-08098:無繁體:籥:無異體
序323 :B03295:籦:籦:無相關對應:一對未知
序324 :B03292:籧:籧:無相關對應:一對未知
序325 :B03297:籯:籯:無相關對應:一對未知
序326 :A03007:節:节:節:一簡對一:G1-00209:節:节:無異體
序328 :A03019:範:范:範:一簡對一
序329 :A03025:簑:蓑:佔格:一簡對一
序330 :A03049:籐:藤:佔格:一簡對多
序331 :B03294:籥:龠:籥:一對未知
