序331 :A04292:銘:铭:銘:一簡對一:G1-02307:銘:铭:無異體
序333 :A04315:錚:铮:錚:一簡對一:G2-04881:錚:铮:無異體
序335 :B05337:銫:铯:銫:一對未知:G2-04882:銫:铯:無異體
序337 :A04288:鉸:铰:鉸:一簡對一:G2-04883:鉸:铰:無異體
序339 :B05324:銥:铱:銥:一對未知:G2-04884:銥:铱:無異體
序341 :A00371:剷:铲:佔格:一簡對多:G1-02308:鏟:铲:剷
序342 :A04338:鏟:铲:鏟:一簡對多:G1-02308:鏟:铲:剷
序344 :B05309:銃:铳:銃:一對未知:G2-04885:銃:铳:無異體
序346 :B05439:鐋:铴:鐋:一對未知:G3-07186:鐋:铴:無異體
序348 :B05323:銨:铵:銨:一對未知:G2-04886:銨:铵:無異體
序350 :A04290:銀:银:銀:一簡對一:G1-02309:銀:银:無異體
序352 :B05341:銣:铷:銣:一對未知:G2-04887:銣:铷:無異體
序354 ::::::G3-07177:銈:𫓯:無異體
序355 ::::::G3-07178:鉷:𫟹:無異體
序356 :A04358:鑄:铸:鑄:一簡對一:G1-02656:鑄:铸:無異體
序358 ::::::G3-07374:鐒:铹:無異體
序359 :A04300:鋪:铺:鋪:一簡對一:G1-02657:鋪:铺:舖
序361 :B05348:鋙:铻:鋙:一對未知:G2-05178:鋙:铻:無異體
序363 :B05374:錸:铼:錸:一對未知:G2-05179:錸:铼:無異體
序365 :B05351:鋱:铽:鋱:一對未知:G3-07376:鋱:铽:無異體
序367 :A04340:鏈:链:鏈:一簡對一:G1-02658:鏈:链:無異體
序369 :A04348:鏗:铿:鏗:一簡對一:G2-05180:鏗:铿:無異體
序371 :A04299:銷:销:銷:一簡對一:G1-02659:銷:销:無異體
序373 :A04332:鎖:锁:鎖:一簡對一:G1-02660:鎖:锁:鎻
序375 :B05356:鋰:锂:鋰:一對未知:G2-05182:鋰:锂:無異體
序377 ::::::G2-05181:鋥:锃:無異體
序378 :A04301:鋤:锄:鋤:一簡對一:G1-02661:鋤:锄:鉏耡
序380 :A04324:鍋:锅:鍋:一簡對一:G1-02662:鍋:锅:無異體
序382 :B05361:鋯:锆:鋯:一對未知:G2-05183:鋯:锆:無異體
序384 :B05363:鋨:锇:鋨:一對未知:G2-05184:鋨:锇:無異體
序386 :A04351:鏽:锈:銹:一簡對一:G1-02663:銹:锈:鏽
序388 :A04304:銼:锉:銼:一簡對一:G2-05185:銼:锉:剉
序389 :B00227:剉:锉:剉:一對未知:G2-05185:銼:锉:剉
序391 :B05359:鋝:锊:鋝:一對未知:G3-07379:鋝:锊:無異體
序393 :A04305:鋒:锋:鋒:一簡對一:G1-02664:鋒:锋:無異體
序395 :A04297:鋅:锌:鋅:一簡對一:G1-02665:鋅:锌:無異體
序397 ::::::G3-07380:鋶:锍:無異體
序398 ::::::G3-07381:鐦:锎:無異體
序399 ::::::G2-05186:鐧:锏:無異體
序400 :A04303:銳:锐:鋭:一簡對一:G1-02666:鋭:锐:無異體
序402 :A04298:銻:锑:銻:一簡對一:G2-05187:銻:锑:無異體
序404 :B05345:鋃:锒:鋃:一對未知:G2-05188:鋃:锒:無異體
序406 :B05352:鋟:锓:鋟:一對未知:G3-07383:鋟:锓:無異體
序408 ::::::G2-05189:鋦:锔:無異體
序409 :B05378:錒:锕:錒:一對未知:G2-05190:錒:锕:無異體
序411 ::::::G3-07373:䥑:鿏:無異體
序412 ::::::G3-07377:銶:𨱇:無異體
序413 ::::::G3-07378:鋗:𫓶:無異體
序414 ::::::G3-07180:鐽:𫟼:無異體
序415 ::::::G3-07375:𨧀:𬭊:無異體
序416 ::::::G3-07382:鋐:𬭎:無異體
序417 :B05370:錆:锖:錆:一對未知:G3-07528:錆:锖:無異體
序419 :B05372:鍺:锗:鍺:一對未知:G2-05482:鍺:锗:無異體
序421 ::::::G3-07530:鍩:锘:無異體
序422 :A04310:錯:错:錯:一簡對一:G1-02936:錯:错:無異體
序424 :A04320:錨:锚:錨:一簡對一:G1-02937:錨:锚:無異體
