序1 :A03751:褻:亵:褻:一簡對一
序290 :B03060:祼:裸:祼:一對未知:G1-03032:無繁體:裸:躶臝
序292 :A03738:裹:裹:佔格:一簡對一:G1-03139:無繁體:裹:無異體
序294 ::::::G3-07603:無繁體:裼:無異體
序295 ::::::G2-05599:無繁體:裾:無異體
序296 :A03736:褂:褂:佔格:一簡對一:G1-03031:無繁體:褂:無異體
序298 ::::::G3-07602:襀:𫌀:無異體
序299 ::::::G2-05823:無繁體:褊:無異體
序300 :A03743:褐:褐:佔格:一簡對一:G1-03179:無繁體:褐:無異體
序302 :A03745:褒:褒:佔格:一簡對一:G1-03280:無繁體:褒:襃
序304 :A03746:褓:褓:佔格:一簡對一:G2-05821:無繁體:褓:緥
序306 ::::::G3-07738:無繁體:褕:無異體
序307 ::::::G2-05820:無繁體:褙:無異體
序308 :A03742:褚:褚:佔格:一簡對一:G2-05597:無繁體:褚:無異體
序310 :A03754:褸:褛:褸:一簡對一:G2-05822:褸:褛:無異體
序312 ::::::G2-06012:無繁體:褟:無異體
序313 ::::::G2-05819:無繁體:褡:無異體
序314 :A03749:褥:褥:佔格:一簡對一:G1-03306:無繁體:褥:無異體
序316 :A03747:褪:褪:佔格:一簡對一:G1-03180:無繁體:褪:無異體
序318 :A03750:褫:褫:佔格:一簡對一:G2-06013:無繁體:褫:無異體
序320 ::::::G3-07826:無繁體:褯:無異體
序321 ::::::G2-06182:無繁體:褰:無異體
序322 :A03758:襤:褴:襤:一簡對一:G2-06011:襤:褴:無異體
序324 :A03752:褶:褶:佔格:一簡對一:G2-06185:無繁體:褶:無異體
序326 ::::::G2-06301:無繁體:襁:繦
序327 :A03753:襄:襄:佔格:一簡對一:G2-06286:無繁體:襄:無異體
序329 ::::::G3-07972:襴:襕:無異體
序330 ::::::G3-07973:無繁體:襚:無異體
序331 ::::::G3-08028:無繁體:襜:無異體
序332 ::::::G2-06417:無繁體:襞:無異體
序333 :A03756:襟:襟:佔格:一簡對一:G1-03449:無繁體:襟:無異體
序335 ::::::G2-06415:無繁體:襦:無異體
序336 ::::::G3-08070:無繁體:襫:無異體
序337 ::::::G2-06492:無繁體:襻:無異體
序338 :A03732:裡:里:裏:一簡對多
